Name,Address,Phone Number,Latitude,Longitude,Hours,Accept Food Stamps,Trasportation
,,,,,,,
George's Deli,"161 North Limestone Lexington, KY 40507, United States",(859) 254-6741 ,38.047632,-84.495641,,,
Town Branch Market,"233 E Main St Lexington, KY 40507, United States",(859) 280-2122 ,38.044280,-84.494297,"730-6 week, 9-3 Sat.",,Walk no Parking
Ohio Street Market,"368 Ohio Street Lexington, KY 40508, United States",(859) 252-9758 ,38.046802,-84.486159,,,
Our Market,"201 East 5th Street Lexington, KY 40508, United States",(859) 231-3728 ,38.051041,-84.486478,,,
F & D Market,"573 Elm Tree Lane Lexington, KY 40508, United States ",(859) 225-3151 ,38.050428,-84.483279,"8-7 week, 9-2 Sun.",Yes,
Griffith's Market,"427 East 6th Street Lexington, KY 40508 United States",(859) 254-7841 ,38.049083,-84.480393,"9-9 week, 9-6 weekends",Yes,Walk
Subcity Market,"500 East 7th Street Lexington, KY 40505, United States",(859) 233-2296 ,38.049392,-84.477535,"8-11 Mon to Thurs, 10-1AM Fri. to Sat, 1-9 Sun",No,
Neighborhood Grocery,"215 East 7th Street Lexington, KY 40508, United States",(859) 231-1140 ,38.053172,-84.481443,Early -8 Mon to Sat,Yes,
Progress Market,"600 North Limestone Street Lexington, KY 40508, United States",(859) 254-3381 ,38.053804,-84.485930,9-9 weekly,Yes,
Mini Mart,"705 E Loudon Ave Lexington, KY 40505",(859) 225-0727 ,38.047972,-84.468706,,,
Marathon Foodmart,"647 W Main St Lexington, KY 40508, United States",(859) 252-0904 ,38.052891,-84.503916,,,
C & P Market,"1000 Manchester St Lexington, KY 40508, United States",(859) 231-9040 ,38.053390,-84.511571,530-7 week,Yes,
Pak & Save Supermarkets,"503 East 3rd Street Lexington, KY 40508, United States",(859) 252-0051 ,38.044619,-84.485084,6-8 week,Yes,
M &M Grocery,"398 East 5th Street, Lexington KY 40508, United States",(859) 252-8866,38.047868,-84.483769,8-8 Weekly,Yes,Walk
