NAME,ADDRESS ,LAT,LON,EMPLOYEES
UK,410 Administration Dr.,38.022014,-84.301787,
Fay. Co. Public Schools,701 E Main St.,38.036525,-84.485973,
KY One Health,1 St. Joseph Dr.,38.031642,-84.521184,
Xerox,101 Yorkshire Blvd.,37.962589,-84.485479,
LFUCG,200 E Main St.,38.044945,-84.495472,
Lexmark,740 W New Circle Rd.,38.073915,-84.492676,
Wal-Mart1,4051 Nicholasville Rd.,37.978273,-84.529146,
Wal-Mart2,4230 Saron Dr.,37.967665,-84.500627,
Wal-Mart3,3180 Richmond Rd.,38.001267,-84.446225,
Wal-Mart4,2350 Grey Lag Way,38.021567,-84.252077,
Wal-Mart5,500 New Circle Rd.,38.072421,-84.482288,
Baptist Healthcare,1740 Nicholasville Rd.,38.020005,-84.513559,
VA Medical Center,1101 Veterans Dr.,38.302404,-84.302404,
Lockheed Martin,101 Prosperous Place,37.999943,-84.445017,
Amazon,1850 Mercer Rd.,38.077106,-84.530022,
Cardinal Hill,2050 Versailles Rd.,38.025055,-84.323128,
