NAME,ADDRESS,LAT,LON,TYPE
Lex Fay Co Health Dept,650 Newtown Pike,38.065256,-84.499097,Pharmacy
Rite Aid,130 W Loudon Ave.,38.058749,-84.483174,Pharmacy
Kroger,704 E Euclid Ave.,38.035625,-84.497321,Pharmacy
Rite Aid,878 E High St.,38.028553,-84.490423,Pharmacy
Wal-Mart,500 W New Circle Rd.,38.072421,-84.482288,Pharmacy
CVS,118 E New Circle Rd.,38.064905,-84.470155,Pharmacy
Tricare,1051 Newtown Pike,38.075643,-84.494648,Pharmacy
Kroger,1650 Bryan Station Rd.,38.060552,-84.463414,Pharmacy
Walgreens,260 E New Circle Rd.,38.061581,-84.466689,Pharmacy
Rite Aid,1307 Winchester Rd.,38.042792,-84.457824,Pharmacy
Sam's Club,1045 E New Circle Rd.,38.03693,-84.454664,Pharmacy
D&R Pharmacare,921 Beasley St.,38.040255,-84.447921,Pharmacy
